name, date, open, max, min, close, volume 
06MAGNA,20141201,2.3300000000000001,2.5,2.3300000000000001,2.4500000000000002,7999
08OCTAVA,20141201,0.85999999999999999,0.85999999999999999,0.85999999999999999,0.85999999999999999,4230
4FUNMEDIA,20141201,6.4199999999999999,6.6799999999999997,6.4100000000000001,6.4100000000000001,5903
ABCDATA,20141201,3.5299999999999998,3.5299999999999998,3.4900000000000002,3.5,48384
ABPL,20141201,32.109999999999999,32.350000000000001,31.93,31.93,1047
ACAUTOGAZ,20141201,28.809999999999999,28.809999999999999,28.809999999999999,28.809999999999999,4
ACE,20141201,10.609999999999999,10.609999999999999,10.56,10.59,2420
ACTION,20141201,44.799999999999997,44.799999999999997,43.369999999999997,44.649999999999999,3976
AGORA,20141201,8.1899999999999995,8.1899999999999995,8.0199999999999996,8.0800000000000001,22674
AGROTON,20141201,1.2,1.27,1.2,1.24,29124
ALCHEMIA,20141201,5.0199999999999996,5.0199999999999996,4.9699999999999998,5.0199999999999996,932486
ALIOR,20141201,78.5,80.5,78.5,79.650000000000006,154743
ALMA,20141201,16.390000000000001,16.390000000000001,15.5,15.800000000000001,401
ALTA,20141201,1.79,1.8200000000000001,1.7,1.8200000000000001,1684
ALTUSTFI,20141201,9.3499999999999996,9.3499999999999996,9.1300000000000008,9.1999999999999993,43939
ALUMETAL,20141201,42.229999999999997,42.229999999999997,41.18,41.200000000000003,2583
AMBRA,20141201,8.5500000000000007,8.5500000000000007,8.4600000000000009,8.4600000000000009,273
AMICA,20141201,112.5,112.90000000000001,110.5,112.40000000000001,1188
AMREST,20141201,101.2,101.2,101.2,101.2,3
APATOR,20141201,37.5,37.5,36.75,36.850000000000001,1185
APLISENS,20141201,12.35,12.75,12.35,12.59,752
ARCTIC,20141201,4.2300000000000004,4.2300000000000004,4.1100000000000003,4.21,58918
ARCUS,20141201,1.78,1.78,1.6899999999999999,1.74,1006
ARKASWE17,20141201,78,78,78,78,100
ARTERIA,20141201,16.300000000000001,16.300000000000001,16.289999999999999,16.289999999999999,63
ASBIS,20141201,1.7,1.7,1.5800000000000001,1.5800000000000001,52136
ASSECOBS,20141201,12.75,12.75,12.02,12.6,1425
ASSECOPOL,20141201,54,54,53.439999999999998,53.799999999999997,284679
ASSECOSEE,20141201,7.6299999999999999,7.6299999999999999,7.6200000000000001,7.6200000000000001,179
ASSECOSLO,20141201,15.4,15.699999999999999,15.4,15.699999999999999,100
ASTARTA,20141201,19.800000000000001,22.489999999999998,19.800000000000001,20.289999999999999,35895
ATENDE,20141201,2.4300000000000002,2.54,2.4300000000000002,2.46,13170
ATLANTAPL,20141201,7.4900000000000002,7.4900000000000002,7.2800000000000002,7.4000000000000004,639
ATLANTIS,20141201,1.03,1.03,1,1.02,44967
ATLASEST,20141201,1.01,1.02,1.01,1.02,100
ATM,20141201,11.58,11.58,11.359999999999999,11.5,3047
ATMGRUPA,20141201,3.2000000000000002,3.21,3.04,3.21,8273
ATREM,20141201,4.1200000000000001,4.1900000000000004,4.0999999999999996,4.1900000000000004,971
AVIAAML,20141201,8.4900000000000002,8.4900000000000002,8.3699999999999992,8.3699999999999992,1006
BALTONA,20141201,6.71,6.9500000000000002,6.6900000000000004,6.6900000000000004,4681
BANKBPH,20141201,46.5,46.5,44.549999999999997,44.75,2787
BBIDEV,20141201,1.1599999999999999,1.22,1.1399999999999999,1.1399999999999999,112154
BENEFIT,20141201,305.85000000000002,305.85000000000002,292,292.69999999999999,147
BETACOM,20141201,12.279999999999999,12.279999999999999,12.279999999999999,12.279999999999999,1
BGZ,20141201,66.900000000000006,67.810000000000002,66.019999999999996,66.140000000000001,446
BIOTON,20141201,4.0700000000000003,4.0999999999999996,4.0300000000000002,4.0999999999999996,43663
BIPROMET,20141201,3.5299999999999998,3.5299999999999998,3.3999999999999999,3.52,2407
BLACKLION,20141201,1.1499999999999999,1.1499999999999999,1.1299999999999999,1.1499999999999999,4214
BMPAG,20141201,3,3,3,3,20
BNPPL,20141201,61.520000000000003,62.740000000000002,61.5,62.740000000000002,764
BOGDANKA,20141201,108,109.2,107.09999999999999,108.2,33469
BORYSZEW,20141201,6.3099999999999996,6.3300000000000001,6.2199999999999998,6.2999999999999998,71207
BOS,20141201,38.299999999999997,38.299999999999997,36.689999999999998,36.689999999999998,3369
BOWIM,20141201,1.7,1.78,1.6200000000000001,1.6200000000000001,6762
BPHFIZSN2,20141201,84.890000000000001,91,84.890000000000001,90.989999999999995,633
BRIJU,20141201,12.07,12.07,11,11.92,2935
BSCDRUK,20141201,26.390000000000001,26.390000000000001,25.329999999999998,26.199999999999999,454
BUDIMEX,20141201,132.59999999999999,133.09999999999999,131,133,3035
BUMECH,20141201,1.8999999999999999,1.95,1.8300000000000001,1.9099999999999999,12513
BYTOM,20141201,1.24,1.25,1.23,1.24,75783
BZWBK,20141201,387,391.5,384.19999999999999,387.30000000000001,53569
CALATRAVA,20141201,1.1799999999999999,1.21,1.1699999999999999,1.2,6972
CAMMEDIA,20141201,3.75,4,3.75,3.7999999999999998,10321
CAPITAL,20141201,2.1600000000000001,2.2599999999999998,2.1600000000000001,2.2400000000000002,65506
CCC,20141201,146,148.15000000000001,145.25,148.09999999999999,102843
CDPROJEKT,20141201,17.530000000000001,17.699999999999999,17.41,17.420000000000002,35627
CDRL-PDA,20141201,19,19,19,19,500
CELTIC,20141201,6.0800000000000001,6.0800000000000001,5.75,6.0800000000000001,119
CEZ,20141201,93.099999999999994,93.75,92.75,93.540000000000006,2690
